Abbr.,Name,UTC Offset
ACDT,Australian Central Daylight Savings Time,10.5
ACST,Australian Central Standard Time,9.5
ACT,Acre Time,-5
ACWST,Australian Central Western Standard Time (unofficial),8.75
ADT,Atlantic Daylight Time,-3
AEDT,Australian Eastern Daylight Savings Time,11
AEST,Australian Eastern Standard Time,10
AFT,Afghanistan Time,4.5
AKDT,Alaska Daylight Time,-8
AKST,Alaska Standard Time,-9
ALMT,Alma-Ata Time,6
AMST,Amazon Summer Time (Brazil),-3
AMT,Amazon Time (Brazil),-4
AMT,Armenia Time,4
ANAT,Anadyr Time,12
AQTT,Aqtobe Time,5
ART,Argentina Time,-3
AST,Arabia Standard Time,3
AST,Atlantic Standard Time,-4
AWST,Australian Western Standard Time,8
AZOST,Azores Summer Time,0
AZOT,Azores Standard Time,-1
AZT,Azerbaijan Time,4
BDT,Brunei Time,8
BIOT,British Indian Ocean Time,6
BIT,Baker Island Time,-12
BOT,Bolivia Time,-4
BRST,Brasília Summer Time,-2
BRT,Brasília Time,-3
BST,Bangladesh Standard Time,6
BTT,Bhutan Time,6
CAT,Central Africa Time,2
CCT,Cocos Islands Time,6.5
CDT,Central Daylight Time (North America),-5
CDT,Cuba Daylight Time,-4
CEST,Central European Summer Time (Cf. HAEC),2
CET,Central European Time,1
CHADT,Chatham Daylight Time,13.75
CHAST,Chatham Standard Time,12.75
CHOT,Choibalsan Standard Time,8
CHOST,Choibalsan Summer Time,9
CHST,Chamorro Standard Time,10
CHUT,Chuuk Time,10
CIST,Clipperton Island Standard Time,-8
CIT,Central Indonesia Time,8
CKT,Cook Island Time,-10
CLST,Chile Summer Time,-3
CLT,Chile Standard Time,-4
COST,Colombia Summer Time,-4
COT,Colombia Time,-5
CST,Central Standard Time (North America),-6
CST,China Standard Time,8
CST,Cuba Standard Time,-5
CT,China Time,8
CVT,Cape Verde Time,-1
CWST,Central Western Standard Time (Australia) unofficial,8.75
CXT,Christmas Island Time,7
DAVT,Davis Time,7
DDUT,Dumont d'Urville Time,10
DFT,AIX-specific equivalent of Central European Time,1
EASST,Easter Island Summer Time,-5
EAST,Easter Island Standard Time,-6
EAT,East Africa Time,3
ECT,Eastern Caribbean Time (does not recognise DST),-4
ECT,Ecuador Time,-5
EDT,Eastern Daylight Time (North America),-4
EEST,Eastern European Summer Time,3
EET,Eastern European Time,2
EGST,Eastern Greenland Summer Time,0
EGT,Eastern Greenland Time,-1
EIT,Eastern Indonesian Time,9
EST,Eastern Standard Time (North America),-5
FET,Further-eastern European Time,3
FJT,Fiji Time,12
FKST,Falkland Islands Summer Time,-3
FKT,Falkland Islands Time,-4
FNT,Fernando de Noronha Time,-2
GALT,Galápagos Time,-6
GAMT,Gambier Islands Time,-9
GET,Georgia Standard Time,4
GFT,French Guiana Time,-3
GILT,Gilbert Island Time,12
GIT,Gambier Island Time,-9
GMT,Greenwich Mean Time,0
GST,South Georgia and the South Sandwich Islands Time,-2
GST,Gulf Standard Time,4
GYT,Guyana Time,-4
HDT,Hawaii–Aleutian Daylight Time,-9
HAEC,Heure Avancée d'Europe Centrale French-language name for CEST,2
HST,Hawaii–Aleutian Standard Time,-10
HKT,Hong Kong Time,8
HMT,Heard and McDonald Islands Time,5
HOVST,Hovd Summer Time (not used from 2017-present),8
HOVT,Hovd Time,7
ICT,Indochina Time,7
IDLW,International Day Line West time zone,-12
IDT,Israel Daylight Time,3
IOT,Indian Ocean Time,3
IRDT,Iran Daylight Time,4.5
IRKT,Irkutsk Time,8
IRST,Iran Standard Time,3.5
IST,Indian Standard Time,5.5
IST,Irish Standard Time,1
IST,Israel Standard Time,2
JST,Japan Standard Time,9
KALT,Kaliningrad Time,2
KGT,Kyrgyzstan Time,6
KOST,Kosrae Time,11
KRAT,Krasnoyarsk Time,7
KST,Korea Standard Time,9
LHST,Lord Howe Standard Time,10.5
LINT,Line Islands Time,14
MAGT,Magadan Time,12
MART,Marquesas Islands Time,-9.5
MAWT,Mawson Station Time,5
MDT,Mountain Daylight Time (North America),-6
MET,Middle European Time Same zone as CET,1
MEST,Middle European Summer Time Same zone as CEST,2
MHT,Marshall Islands Time,12
MIST,Macquarie Island Station Time,11
MIT,Marquesas Islands Time,-9.5
MMT,Myanmar Standard Time,6.5
MSK,Moscow Time,3
MST,Malaysia Standard Time,8
MST,Mountain Standard Time (North America),-7
MUT,Mauritius Time,4
MVT,Maldives Time,5
MYT,Malaysia Time,8
NCT,New Caledonia Time,11
NDT,Newfoundland Daylight Time,-2.5
NFT,Norfolk Island Time,11
NOVT,Novosibirsk Time,7
NPT,Nepal Time,5.75
NST,Newfoundland Standard Time,-3.5
NT,Newfoundland Time,-3.5
NUT,Niue Time,-11
NZDT,New Zealand Daylight Time,13
NZST,New Zealand Standard Time,12
OMST,Omsk Time,6
ORAT,Oral Time,5
PDT,Pacific Daylight Time (North America),-7
PET,Peru Time,-5
PETT,Kamchatka Time,12
PGT,Papua New Guinea Time,10
PHOT,Phoenix Island Time,13
PHT,Philippine Time,8
PKT,Pakistan Standard Time,5
PMDT,Saint Pierre and Miquelon Daylight Time,-2
PMST,Saint Pierre and Miquelon Standard Time,-3
PONT,Pohnpei Standard Time,11
PST,Pacific Standard Time (North America),-8
PST,Philippine Standard Time,8
PYST,Paraguay Summer Time,-3
